comment,date,downvotes,gender,location,search,upvotes,user,video,views,cleancomment,sex,sexuality,stem,lemma
I hate the fake stuff...,2019-10-31 20:34:08 UTC,69,"Male and female couple, Heterosexual",Portugal,Cuckold,2588,https://xhamster.com/users/ambosperversos,https://xhamster.com/videos/cuck-older-husband-shares-hot-wife-addison-with-young-stud-12550995,957124,I hate the fake stuff ,Male and female couple,Heterosexual,"['hate', 'fake', 'stuff']","['hate', 'fake', 'stuff']"
Share your wife with me please!,2019-10-30 04:32:22 UTC,69,"Transgender MtF, Pansexual",United States,Cuckold,2588,https://xhamster.com/users/xamylovex,https://xhamster.com/videos/cuck-older-husband-shares-hot-wife-addison-with-young-stud-12550995,957124,Share your wife with me please ,Transgender MtF,Pansexual,"['share', 'wife', 'pleas']","['share', 'wife', 'please']"
Nicole Aniston sucked my dick on the bang bus https://xhamster.com/videos/nicole-aniston-on-the-bang-bus-9938574,2019-10-30 04:21:40 UTC,69,"Male, Heterosexual",United States,Cuckold,2588,https://xhamster.com/users/sgeeoh7,https://xhamster.com/videos/cuck-older-husband-shares-hot-wife-addison-with-young-stud-12550995,957124,Nicole Aniston sucked my dick on the bang bus ,Male,Heterosexual,"['nicol', 'aniston', 'suck', 'dick', 'bang', 'bu']","['nicole', 'aniston', 'suck', 'dick', 'bang', 'bus']"
"that can,t be his wife!! if she keeps fucking young studa, won,t be his wife for much longer.",2019-10-28 22:18:07 UTC,69,"Male, Heterosexual",United States,Cuckold,2588,https://xhamster.com/users/bigjamz,https://xhamster.com/videos/cuck-older-husband-shares-hot-wife-addison-with-young-stud-12550995,957124,that can t be his wife if she keeps fucking young studa won t be his wife for much longer ,Male,Heterosexual,"['wife', 'keep', 'fuck', 'young', 'studa', 'wife', 'much', 'longer']","['wife', 'keep', 'fuck', 'young', 'studa', 'wife', 'much', 'longer']"
So fucking hot!,2019-10-22 10:08:31 UTC,69,"Male, Heterosexual",Russian Federation,Cuckold,2588,https://xhamster.com/users/smpnsb,https://xhamster.com/videos/cuck-older-husband-shares-hot-wife-addison-with-young-stud-12550995,957124,So fucking hot ,Male,Heterosexual,"['fuck', 'hot']","['fuck', 'hot']"
"fortunato il ragazzo, gran figa",2019-10-18 13:36:08 UTC,69,"Male, Heterosexual",Italy,Cuckold,2588,https://xhamster.com/users/legal70,https://xhamster.com/videos/cuck-older-husband-shares-hot-wife-addison-with-young-stud-12550995,957124,fortunato il ragazzo gran figa,Male,Heterosexual,"['fortunato', 'il', 'ragazzo', 'gran', 'figa']","['fortunato', 'il', 'ragazzo', 'gran', 'figa']"
Great,2019-10-18 03:26:38 UTC,69,"Male, Heterosexual",Iceland,Cuckold,2588,https://xhamster.com/users/hotguy3456,https://xhamster.com/videos/cuck-older-husband-shares-hot-wife-addison-with-young-stud-12550995,957124,Great,Male,Heterosexual,['great'],['great']
I'd let him drop his load in my girl as much as he wants,2019-10-16 06:55:25 UTC,69,"Male, Heterosexual",United States,Cuckold,2588,https://xhamster.com/users/justahornyguy95,https://xhamster.com/videos/cuck-older-husband-shares-hot-wife-addison-with-young-stud-12550995,957124,I d let him drop his load in my girl as much as he wants,Male,Heterosexual,"['let', 'drop', 'load', 'girl', 'much', 'want']","['let', 'drop', 'load', 'girl', 'much', 'want']"
So horny! i would loce to bang her to and give her a huge cumshot!,2019-10-15 12:18:18 UTC,69,"Male, Heterosexual",Germany,Cuckold,2588,https://xhamster.com/users/rohrschach82,https://xhamster.com/videos/cuck-older-husband-shares-hot-wife-addison-with-young-stud-12550995,957124,So horny i would loce to bang her to and give her a huge cumshot ,Male,Heterosexual,"['horni', 'would', 'loce', 'bang', 'give', 'huge', 'cumshot']","['horny', 'would', 'loce', 'bang', 'give', 'huge', 'cumshot']"
me encanta que mi amante me ponga cachonda antes de mamar su polla para que me folle,2019-10-13 14:46:24 UTC,69,"Female, Heterosexual",Spain,Cuckold,2588,https://xhamster.com/users/ninanria7,https://xhamster.com/videos/cuck-older-husband-shares-hot-wife-addison-with-young-stud-12550995,957124,me encanta que mi amante me ponga cachonda antes de mamar su polla para que me folle,Female,Heterosexual,"['encanta', 'que', 'mi', 'amant', 'ponga', 'cachonda', 'ant', 'de', 'mamar', 'su', 'polla', 'para', 'que', 'foll']","['encanta', 'que', 'mi', 'amante', 'ponga', 'cachonda', 'ante', 'de', 'mamar', 'su', 'polla', 'para', 'que', 'folle']"
would literally cost $1 for a fake wedding ring,2019-10-13 02:51:21 UTC,69,"Male, Heterosexual",United States,Cuckold,2588,https://xhamster.com/users/blackhawkdown,https://xhamster.com/videos/cuck-older-husband-shares-hot-wife-addison-with-young-stud-12550995,957124,would literally cost for a fake wedding ring,Male,Heterosexual,"['would', 'liter', 'cost', 'fake', 'wed', 'ring']","['would', 'literally', 'cost', 'fake', 'wedding', 'ring']"
the milf is amazing ,2019-12-15 13:25:14 UTC,17,"Male, Not sure",United Kingdom,Cuckold,531,https://xhamster.com/users/kenny_a,https://xhamster.com/videos/neglected-milf-joins-teen-babysitter-of-husband-12650215,172200,the milf is amazing ,Male,Not sure,"['milf', 'amaz']","['milf', 'amaze']"
There should have been some lesbian action,2019-11-16 08:40:41 UTC,17,"Male, Bisexual",Hungary,Cuckold,531,https://xhamster.com/users/bothways91,https://xhamster.com/videos/neglected-milf-joins-teen-babysitter-of-husband-12650215,172200,There should have been some lesbian action,Male,Bisexual,"['lesbian', 'action']","['lesbian', 'action']"
"Hell Yes I like the tight cunt and perky tits. 
Why y'all think I'm doing my SIL in the first place? These things don't just happen out of blind luck! ",2019-11-07 00:10:09 UTC,17,"Male, Heterosexual",United States,Cuckold,531,https://xhamster.com/users/sengels,https://xhamster.com/videos/neglected-milf-joins-teen-babysitter-of-husband-12650215,172200,Hell Yes I like the tight cunt and perky tits Why y all think I m doing my SIL in the first place These things don t just happen out of blind luck ,Male,Heterosexual,"['hell', 'ye', 'like', 'tight', 'cunt', 'perki', 'tit', 'think', 'sil', 'first', 'place', 'thing', 'happen', 'blind', 'luck']","['hell', 'yes', 'like', 'tight', 'cunt', 'perky', 'tit', 'think', 'sil', 'first', 'place', 'thing', 'happen', 'blind', 'luck']"
"شكون لي تحب انيكها مع صاحبتها ونشبعك زب
وحدة سخونة وتحب تنيك وعندها دي فونتازم مقودين",2019-10-19 22:16:15 UTC,17,"Male, Heterosexual",Algeria,Cuckold,531,https://xhamster.com/users/niyk0672411737,https://xhamster.com/videos/neglected-milf-joins-teen-babysitter-of-husband-12650215,172200, ,Male,Heterosexual,[],[]
Amazing,2019-10-19 21:02:59 UTC,17,"Male, Pansexual",United States,Cuckold,531,https://xhamster.com/users/jtblono,https://xhamster.com/videos/neglected-milf-joins-teen-babysitter-of-husband-12650215,172200,Amazing,Male,Pansexual,['amaz'],['amaze']
If the wife would put out more she wouldn't have to watch the babysitter on his cock?,2019-10-19 16:40:53 UTC,17,"Male, Heterosexual",United States,Cuckold,531,https://xhamster.com/users/dome90123,https://xhamster.com/videos/neglected-milf-joins-teen-babysitter-of-husband-12650215,172200,If the wife would put out more she wouldn t have to watch the babysitter on his cock ,Male,Heterosexual,"['wife', 'would', 'put', 'watch', 'babysitt', 'cock']","['wife', 'would', 'put', 'watch', 'babysitter', 'cock']"
nice fantasy,2019-10-19 06:28:23 UTC,17,"Male and female couple, Heterosexual",Greece,Cuckold,531,https://xhamster.com/users/couplemhc,https://xhamster.com/videos/neglected-milf-joins-teen-babysitter-of-husband-12650215,172200,nice fantasy,Male and female couple,Heterosexual,"['nice', 'fantasi']","['nice', 'fantasy']"
I would sure like to see how the story ends...,2019-10-18 23:52:43 UTC,17,"Male, Heterosexual",United States,Cuckold,531,https://xhamster.com/users/hggable,https://xhamster.com/videos/neglected-milf-joins-teen-babysitter-of-husband-12650215,172200,I would sure like to see how the story ends ,Male,Heterosexual,"['would', 'sure', 'like', 'see', 'stori', 'end']","['would', 'sure', 'like', 'see', 'story', 'end']"
"Wow, that was cool.  Good acting, totally believable.  And a good time was had by all.",2019-10-18 18:06:58 UTC,17,"Male, Heterosexual",United States,Cuckold,531,https://xhamster.com/users/hggable,https://xhamster.com/videos/neglected-milf-joins-teen-babysitter-of-husband-12650215,172200,Wow that was cool Good acting totally believable And a good time was had by all ,Male,Heterosexual,"['wow', 'cool', 'good', 'act', 'total', 'believ', 'good', 'time']","['wow', 'cool', 'good', 'act', 'totally', 'believable', 'good', 'time']"
Awesome,2019-10-18 14:18:04 UTC,17,"Male, Heterosexual",United States,Cuckold,531,https://xhamster.com/users/wood4000,https://xhamster.com/videos/neglected-milf-joins-teen-babysitter-of-husband-12650215,172200,Awesome,Male,Heterosexual,['awesom'],['awesome']
nice,2019-10-18 13:40:52 UTC,17,"Male, Heterosexual",United States,Cuckold,531,https://xhamster.com/users/rhythm37dodge,https://xhamster.com/videos/neglected-milf-joins-teen-babysitter-of-husband-12650215,172200,nice,Male,Heterosexual,['nice'],['nice']
Nice ,2019-12-16 12:40:00 UTC,188,"Male and female couple, Heterosexual",Kuwait,Cuckold,4106,https://xhamster.com/users/couplekkw,https://xhamster.com/videos/first-time-and-it-s-all-a-little-awkward-for-shy-white-wife-1867833,2811479,Nice ,Male and female couple,Heterosexual,['nice'],['nice']
Slut won't be shy anymore.,2019-12-03 02:11:26 UTC,188,"Male, Heterosexual",United States,Cuckold,4106,https://xhamster.com/users/lovepussyguy,https://xhamster.com/videos/first-time-and-it-s-all-a-little-awkward-for-shy-white-wife-1867833,2811479,Slut won t be shy anymore ,Male,Heterosexual,"['slut', 'shi', 'anymor']","['slut', 'shy', 'anymore']"
I never understood the fascination with these guys watching someone screw their wife.,2019-10-02 19:43:28 UTC,188,"Male, Heterosexual",United States,Cuckold,4106,https://xhamster.com/users/galacticboner,https://xhamster.com/videos/first-time-and-it-s-all-a-little-awkward-for-shy-white-wife-1867833,2811479,I never understood the fascination with these guys watching someone screw their wife ,Male,Heterosexual,"['never', 'understood', 'fascin', 'guy', 'watch', 'someon', 'screw', 'wife']","['never', 'understood', 'fascination', 'guy', 'watch', 'someone', 'screw', 'wife']"
"My wife just took a similar BBC the same way, it was the only way she could take him he was so big! She came 8 times and squirted all over his beautiful cock! I cleaned her and him life rocks!",2019-10-02 00:09:16 UTC,188,"Male and female couple, Bisexual",United States,Cuckold,4106,https://xhamster.com/users/luvtosuckcum,https://xhamster.com/videos/first-time-and-it-s-all-a-little-awkward-for-shy-white-wife-1867833,2811479,My wife just took a similar BBC the same way it was the only way she could take him he was so big She came times and squirted all over his beautiful cock I cleaned her and him life rocks ,Male and female couple,Bisexual,"['wife', 'took', 'similar', 'bbc', 'way', 'way', 'could', 'take', 'big', 'came', 'time', 'squirt', 'beauti', 'cock', 'clean', 'life', 'rock']","['wife', 'take', 'similar', 'bbc', 'way', 'way', 'could', 'take', 'big', 'come', 'time', 'squirt', 'beautiful', 'cock', 'clean', 'life', 'rock']"
she is shy no more,2019-09-26 10:41:37 UTC,188,"Male and female couple, Heterosexual",United States,Cuckold,4106,https://xhamster.com/users/stiltskins,https://xhamster.com/videos/first-time-and-it-s-all-a-little-awkward-for-shy-white-wife-1867833,2811479,she is shy no more,Male and female couple,Heterosexual,['shi'],['shy']
Might be awkward fist time get an experienced bull and hubby will be forced to sit back watch shut the fuck up and see his wife become a BBC whore after that encounter she'll just fuck as she pleases ,2019-09-24 08:51:27 UTC,188,"Male and female couple, Heterosexual",Ireland,Cuckold,4106,https://xhamster.com/users/jolly-barra,https://xhamster.com/videos/first-time-and-it-s-all-a-little-awkward-for-shy-white-wife-1867833,2811479,Might be awkward fist time get an experienced bull and hubby will be forced to sit back watch shut the fuck up and see his wife become a BBC whore after that encounter she ll just fuck as she pleases ,Male and female couple,Heterosexual,"['might', 'awkward', 'fist', 'time', 'get', 'experienc', 'bull', 'hubbi', 'forc', 'sit', 'back', 'watch', 'shut', 'fuck', 'see', 'wife', 'becom', 'bbc', 'whore', 'encount', 'fuck', 'pleas']","['might', 'awkward', 'fist', 'time', 'get', 'experienced', 'bull', 'hubby', 'force', 'sit', 'back', 'watch', 'shut', 'fuck', 'see', 'wife', 'become', 'bbc', 'whore', 'encounter', 'fuck', 'plea']"
Such a great opportunity like this RUINED by an idiot who doesn't know how to film a scene. WASTED POTENTIAL!,2019-09-13 07:02:27 UTC,188,"Male, Heterosexual",United States,Cuckold,4106,https://xhamster.com/users/bassage,https://xhamster.com/videos/first-time-and-it-s-all-a-little-awkward-for-shy-white-wife-1867833,2811479,Such a great opportunity like this RUINED by an idiot who doesn t know how to film a scene WASTED POTENTIAL ,Male,Heterosexual,"['great', 'opportun', 'like', 'ruin', 'idiot', 'know', 'film', 'scene', 'wast', 'potenti']","['great', 'opportunity', 'like', 'ruin', 'idiot', 'know', 'film', 'scene', 'waste', 'potential']"
Yeah this is what usually happens when you get a Bull that doesnt know what he's doing and never done this before. Wasted one of the best pieces of amateur ass on here and came in 2 mins lmfaoo. She was so embaressed she was def enjoying it. 1st time couples are the best,2019-08-28 07:21:38 UTC,188,"Male, Heterosexual",United States,Cuckold,4106,https://xhamster.com/users/rome561,https://xhamster.com/videos/first-time-and-it-s-all-a-little-awkward-for-shy-white-wife-1867833,2811479,Yeah this is what usually happens when you get a Bull that doesnt know what he s doing and never done this before Wasted one of the best pieces of amateur ass on here and came in mins lmfaoo She was so embaressed she was def enjoying it st time couples are the best,Male,Heterosexual,"['yeah', 'usual', 'happen', 'get', 'bull', 'doesnt', 'know', 'never', 'done', 'wast', 'one', 'best', 'piec', 'amateur', 'ass', 'came', 'min', 'lmfaoo', 'embaress', 'def', 'enjoy', 'st', 'time', 'coupl', 'best']","['yeah', 'usually', 'happens', 'get', 'bull', 'doesnt', 'know', 'never', 'do', 'waste', 'one', 'best', 'piece', 'amateur', 'as', 'come', 'min', 'lmfaoo', 'embaressed', 'def', 'enjoy', 'st', 'time', 'couple', 'best']"
where the hell his fucking pussy or anal ??,2019-08-22 10:24:54 UTC,188,"Male, Heterosexual",South Africa,Cuckold,4106,https://xhamster.com/users/mohanxxxy,https://xhamster.com/videos/first-time-and-it-s-all-a-little-awkward-for-shy-white-wife-1867833,2811479,where the hell his fucking pussy or anal ,Male,Heterosexual,"['hell', 'fuck', 'pussi', 'anal']","['hell', 'fuck', 'pussy', 'anal']"
She will get used to it,2019-08-15 10:30:54 UTC,188,"Male and female couple, Heterosexual",United States,Cuckold,4106,https://xhamster.com/users/balsac83,https://xhamster.com/videos/first-time-and-it-s-all-a-little-awkward-for-shy-white-wife-1867833,2811479,She will get used to it,Male and female couple,Heterosexual,"['get', 'use']","['get', 'use']"
welcome to the club...,2019-08-14 08:48:22 UTC,188,"Male, Heterosexual",United States,Cuckold,4106,https://xhamster.com/users/bi-bbc4u2share,https://xhamster.com/videos/first-time-and-it-s-all-a-little-awkward-for-shy-white-wife-1867833,2811479,welcome to the club ,Male,Heterosexual,"['welcom', 'club']","['welcome', 'club']"
I like it when a perv hubby forces his humiliated wife to take black cock on cam even though she hates it. ,2019-08-13 22:34:26 UTC,188,"Male, Heterosexual",Canada,Cuckold,4106,https://xhamster.com/users/xslatina,https://xhamster.com/videos/first-time-and-it-s-all-a-little-awkward-for-shy-white-wife-1867833,2811479,I like it when a perv hubby forces his humiliated wife to take black cock on cam even though she hates it ,Male,Heterosexual,"['like', 'perv', 'hubbi', 'forc', 'humili', 'wife', 'take', 'black', 'cock', 'cam', 'even', 'though', 'hate']","['like', 'perv', 'hubby', 'force', 'humiliate', 'wife', 'take', 'black', 'cock', 'cam', 'even', 'though', 'hate']"
Seems to be his first time fucking a white chick too!,2019-07-28 01:46:31 UTC,188,"Male, Heterosexual",United States,Cuckold,4106,https://xhamster.com/users/esqfunseeker,https://xhamster.com/videos/first-time-and-it-s-all-a-little-awkward-for-shy-white-wife-1867833,2811479,Seems to be his first time fucking a white chick too ,Male,Heterosexual,"['seem', 'first', 'time', 'fuck', 'white', 'chick']","['seem', 'first', 'time', 'fuck', 'white', 'chick']"
Wives don't have to be shared many times before the shyness goes.  my wife is now very relaxed about being passed around strangers.,2019-07-20 00:06:47 UTC,188,"Male and female couple, Heterosexual",United Kingdom,Cuckold,4106,https://xhamster.com/users/crossh2,https://xhamster.com/videos/first-time-and-it-s-all-a-little-awkward-for-shy-white-wife-1867833,2811479,Wives don t have to be shared many times before the shyness goes my wife is now very relaxed about being passed around strangers ,Male and female couple,Heterosexual,"['wive', 'share', 'mani', 'time', 'shyness', 'goe', 'wife', 'relax', 'pass', 'around', 'stranger']","['wife', 'share', 'many', 'time', 'shyness', 'go', 'wife', 'relaxed', 'pass', 'around', 'stranger']"
Damn got to go more than a few minutes if I had a shot with my high sex drive she would definitely get fucked deep for a few hours of fuck sessions plus she got one nice ass damn damn damn,2019-07-19 04:00:26 UTC,188,"Male, Heterosexual",United States,Cuckold,4106,https://xhamster.com/users/thunderball868,https://xhamster.com/videos/first-time-and-it-s-all-a-little-awkward-for-shy-white-wife-1867833,2811479,Damn got to go more than a few minutes if I had a shot with my high sex drive she would definitely get fucked deep for a few hours of fuck sessions plus she got one nice ass damn damn damn,Male,Heterosexual,"['damn', 'got', 'go', 'minut', 'shot', 'high', 'sex', 'drive', 'would', 'definit', 'get', 'fuck', 'deep', 'hour', 'fuck', 'session', 'plu', 'got', 'one', 'nice', 'ass', 'damn', 'damn', 'damn']","['damn', 'get', 'go', 'minute', 'shot', 'high', 'sex', 'drive', 'would', 'definitely', 'get', 'fuck', 'deep', 'hour', 'fuck', 'session', 'plus', 'get', 'one', 'nice', 'as', 'damn', 'damn', 'damn']"
"I don't know about you, but when I'm having sex I like to take off my tube socks.",2019-07-12 13:23:17 UTC,188,"Male, Heterosexual",United Kingdom,Cuckold,4106,https://xhamster.com/users/darkstarlover,https://xhamster.com/videos/first-time-and-it-s-all-a-little-awkward-for-shy-white-wife-1867833,2811479,I don t know about you but when I m having sex I like to take off my tube socks ,Male,Heterosexual,"['know', 'sex', 'like', 'take', 'tube', 'sock']","['know', 'sex', 'like', 'take', 'tube', 'sock']"
Do they just re upload this video everyday? Why is it constantly at the top of the feed,2019-07-12 11:43:15 UTC,188,"Male, Heterosexual",United States,Cuckold,4106,https://xhamster.com/users/reaj2008,https://xhamster.com/videos/first-time-and-it-s-all-a-little-awkward-for-shy-white-wife-1867833,2811479,Do they just re upload this video everyday Why is it constantly at the top of the feed,Male,Heterosexual,"['upload', 'video', 'everyday', 'constantli', 'top', 'feed']","['upload', 'video', 'everyday', 'constantly', 'top', 'feed']"
Elle se fait baiser sans rien dire du tout,2019-07-02 23:04:43 UTC,188,"Male, Heteroflexible",France,Cuckold,4106,https://xhamster.com/users/bizen31,https://xhamster.com/videos/first-time-and-it-s-all-a-little-awkward-for-shy-white-wife-1867833,2811479,Elle se fait baiser sans rien dire du tout,Male,Heteroflexible,"['ell', 'se', 'fait', 'baiser', 'san', 'rien', 'dire', 'du', 'tout']","['elle', 'se', 'fait', 'baiser', 'sans', 'rien', 'dire', 'du', 'tout']"
"You need to work on holding the camera steady.  No matter how good the scene might be, you ruin it by jerking the camera all around.  Your camera is not you dick!",2019-06-28 20:18:05 UTC,188,"Male, Heterosexual",United States,Cuckold,4106,https://xhamster.com/users/jmcox261,https://xhamster.com/videos/first-time-and-it-s-all-a-little-awkward-for-shy-white-wife-1867833,2811479,You need to work on holding the camera steady No matter how good the scene might be you ruin it by jerking the camera all around Your camera is not you dick ,Male,Heterosexual,"['need', 'work', 'hold', 'camera', 'steadi', 'matter', 'good', 'scene', 'might', 'ruin', 'jerk', 'camera', 'around', 'camera', 'dick']","['need', 'work', 'hold', 'camera', 'steady', 'matter', 'good', 'scene', 'might', 'ruin', 'jerking', 'camera', 'around', 'camera', 'dick']"
"Please,please,please can we see more of her. So sweet ",2019-06-27 21:38:27 UTC,188,"Male, Heterosexual",United Kingdom,Cuckold,4106,https://xhamster.com/users/heron999,https://xhamster.com/videos/first-time-and-it-s-all-a-little-awkward-for-shy-white-wife-1867833,2811479,Please please please can we see more of her So sweet ,Male,Heterosexual,"['pleas', 'pleas', 'pleas', 'see', 'sweet']","['please', 'please', 'please', 'see', 'sweet']"
Hot party,2019-11-17 13:25:21 UTC,14,"Male, Bisexual",United Kingdom,Cuckold,845,https://xhamster.com/users/jax2107,https://xhamster.com/videos/swing-party-8258179,368063,Hot party,Male,Bisexual,"['hot', 'parti']","['hot', 'party']"
Hott,2019-08-10 01:36:35 UTC,14,"Male, Heterosexual",United States,Cuckold,845,https://xhamster.com/users/uncledave85,https://xhamster.com/videos/swing-party-8258179,368063,Hott,Male,Heterosexual,['hott'],['hott']
I want visit party like this one.,2019-07-28 16:58:05 UTC,14,"Male, Heterosexual",Czech Republic,Cuckold,845,https://xhamster.com/users/jaguari,https://xhamster.com/videos/swing-party-8258179,368063,I want visit party like this one ,Male,Heterosexual,"['want', 'visit', 'parti', 'like', 'one']","['want', 'visit', 'party', 'like', 'one']"
Happy memories!!,2019-07-24 16:38:52 UTC,14,"Male, Bisexual",United States,Cuckold,845,https://xhamster.com/users/cigarman56,https://xhamster.com/videos/swing-party-8258179,368063,Happy memories ,Male,Bisexual,"['happi', 'memori']","['happy', 'memory']"
hot,2019-07-22 20:39:05 UTC,14,"Female, Bisexual",United Kingdom,Cuckold,845,https://xhamster.com/users/nymphomaniac2014,https://xhamster.com/videos/swing-party-8258179,368063,hot,Female,Bisexual,['hot'],['hot']
Fake,2019-07-20 11:26:49 UTC,14,"Male, Heterosexual",Germany,Cuckold,845,https://xhamster.com/users/littlehugh,https://xhamster.com/videos/swing-party-8258179,368063,Fake,Male,Heterosexual,['fake'],['fake']
Swing parties are exactly like that,2019-06-10 20:11:57 UTC,14,"Male and female couple, Bisexual",United States,Cuckold,845,https://xhamster.com/users/leggyone,https://xhamster.com/videos/swing-party-8258179,368063,Swing parties are exactly like that,Male and female couple,Bisexual,"['swing', 'parti', 'exactli', 'like']","['swing', 'party', 'exactly', 'like']"
A dream,2019-05-14 11:00:57 UTC,14,"Male and female couple, Heterosexual",United States,Cuckold,845,https://xhamster.com/users/garnercouple,https://xhamster.com/videos/swing-party-8258179,368063,A dream,Male and female couple,Heterosexual,['dream'],['dream']
bellissimo. qualcuno conosce il titolo del video completo?,2019-03-22 12:17:35 UTC,14,"Female, Heterosexual",Italy,Cuckold,845,https://xhamster.com/users/alfafiuno,https://xhamster.com/videos/swing-party-8258179,368063,bellissimo qualcuno conosce il titolo del video completo ,Female,Heterosexual,"['bellissimo', 'qualcuno', 'conosc', 'il', 'titolo', 'del', 'video', 'completo']","['bellissimo', 'qualcuno', 'conosce', 'il', 'titolo', 'del', 'video', 'completo']"
"Great clip, I would like to know the movie title. Any body know it?",2019-03-17 00:14:30 UTC,14,"Male, Heterosexual",United States,Cuckold,845,https://xhamster.com/users/getmade11,https://xhamster.com/videos/swing-party-8258179,368063,Great clip I would like to know the movie title Any body know it ,Male,Heterosexual,"['great', 'clip', 'would', 'like', 'know', 'movi', 'titl', 'bodi', 'know']","['great', 'clip', 'would', 'like', 'know', 'movie', 'title', 'body', 'know']"
That was incredible. Great clip. More?  ,2019-02-26 02:40:30 UTC,14,"Male and female couple, Heterosexual",United States,Cuckold,845,https://xhamster.com/users/kinky1973,https://xhamster.com/videos/swing-party-8258179,368063,That was incredible Great clip More ,Male and female couple,Heterosexual,"['incred', 'great', 'clip']","['incredible', 'great', 'clip']"
Wow belli complimenti ,2018-12-07 09:02:36 UTC,14,"Male and female couple, Heterosexual",Italy,Cuckold,845,https://xhamster.com/users/margheritagelsomino,https://xhamster.com/videos/swing-party-8258179,368063,Wow belli complimenti ,Male and female couple,Heterosexual,"['wow', 'belli', 'complimenti']","['wow', 'belli', 'complimenti']"
who likes these type parties? write me to inbox.,2018-10-05 19:27:20 UTC,14,"Male, Heterosexual",United Kingdom,Cuckold,845,https://xhamster.com/users/xxxman123,https://xhamster.com/videos/swing-party-8258179,368063,who likes these type parties write me to inbox ,Male,Heterosexual,"['like', 'type', 'parti', 'write', 'inbox']","['like', 'type', 'party', 'write', 'inbox']"
Yessss,2018-09-21 22:11:59 UTC,14,"Female, Heterosexual",Germany,Cuckold,845,https://xhamster.com/users/sextoyberlin,https://xhamster.com/videos/swing-party-8258179,368063,Yessss,Female,Heterosexual,['yessss'],['yes']
whats the name of movie,2018-01-04 14:46:21 UTC,14,"Male and female couple, Heterosexual",,Cuckold,845,https://xhamster.com/users/sofizeee,https://xhamster.com/videos/swing-party-8258179,368063,whats the name of movie,Male and female couple,Heterosexual,"['what', 'name', 'movi']","['whats', 'name', 'movie']"
Love MM,2017-10-27 23:25:41 UTC,14,"Male, Heterosexual",United Kingdom,Cuckold,845,https://xhamster.com/users/daft-spunk,https://xhamster.com/videos/swing-party-8258179,368063,Love MM,Male,Heterosexual,"['love', 'mm']","['love', 'mm']"
please name of the movie,2017-10-11 23:59:31 UTC,14,"Male and female couple, Heterosexual",Lebanon,Cuckold,845,https://xhamster.com/users/shoox83,https://xhamster.com/videos/swing-party-8258179,368063,please name of the movie,Male and female couple,Heterosexual,"['pleas', 'name', 'movi']","['please', 'name', 'movie']"
"Could you send me the name, I couldn't find it. ",2017-09-25 02:38:21 UTC,14,"Male, Heterosexual",Canada,Cuckold,845,https://xhamster.com/users/savvy09,https://xhamster.com/videos/swing-party-8258179,368063,Could you send me the name I couldn t find it ,Male,Heterosexual,"['could', 'send', 'name', 'find']","['could', 'send', 'name', 'find']"
"Could you pm me name of the movie, please",2017-09-21 07:44:40 UTC,14,"Male, Heterosexual",Serbia,Cuckold,845,https://xhamster.com/users/sexy777777,https://xhamster.com/videos/swing-party-8258179,368063,Could you pm me name of the movie please,Male,Heterosexual,"['could', 'pm', 'name', 'movi', 'pleas']","['could', 'pm', 'name', 'movie', 'please']"
"Dorcel
PREMIÈRE ORGIE ET DOUBLE PÉNÉTRATION POUR LA JEUNE MANON",2017-09-15 21:37:47 UTC,14,"Male and female couple, Heterosexual",France,Cuckold,845,https://xhamster.com/users/cartedesvins,https://xhamster.com/videos/swing-party-8258179,368063,Dorcel PREMI RE ORGIE ET DOUBLE P N TRATION POUR LA JEUNE MANON,Male and female couple,Heterosexual,"['dorcel', 'premi', 'orgi', 'et', 'doubl', 'p', 'n', 'tration', 'pour', 'la', 'jeun', 'manon']","['dorcel', 'premi', 'orgie', 'et', 'double', 'p', 'n', 'tration', 'pour', 'la', 'jeune', 'manon']"
HOT ...Title full movie????,2017-09-15 10:21:55 UTC,14,"Transgender MtF, Heterosexual",Portugal,Cuckold,845,https://xhamster.com/users/caressag,https://xhamster.com/videos/swing-party-8258179,368063,HOT Title full movie ,Transgender MtF,Heterosexual,"['hot', 'titl', 'full', 'movi']","['hot', 'title', 'full', 'movie']"
This is what I am after !,2017-09-15 09:53:30 UTC,14,"Male, Heterosexual",Canada,Cuckold,845,https://xhamster.com/users/sergejxxx,https://xhamster.com/videos/swing-party-8258179,368063,This is what I am after ,Male,Heterosexual,[],[]
"No, no, no, don't stop now....",2017-09-15 09:45:47 UTC,14,"Male, Heterosexual",United States,Cuckold,845,https://xhamster.com/users/letsgo4it,https://xhamster.com/videos/swing-party-8258179,368063,No no no don t stop now ,Male,Heterosexual,['stop'],['stop']
amazing video love to be friends ,2019-12-18 15:43:54 UTC,0,"Male, Heterosexual",United States,Cuckold,16,https://xhamster.com/users/flstf2,https://xhamster.com/videos/hubby-eats-bbc-creampie-from-hotwife-pussy-13136107,2059,amazing video love to be friends ,Male,Heterosexual,"['amaz', 'video', 'love', 'friend']","['amaze', 'video', 'love', 'friend']"
awesome,2019-12-18 15:43:29 UTC,0,"Male, Heterosexual",United States,Cuckold,16,https://xhamster.com/users/flstf2,https://xhamster.com/videos/hubby-eats-bbc-creampie-from-hotwife-pussy-13136107,2059,awesome,Male,Heterosexual,['awesom'],['awesome']
